permutation,PD_code,Khovanov_polynomial,Jones_polynomial,Jones_polynomial_span,Alexander_polynomial,Alexander_polynomial_span,Signature,Determinant
"[-1.16913, 2.07157, 0.783386, -0.58603, -0.569673, -0.269947, 1.30895, -0.1981, -0.253649, -0.541904, -1.77244, 0.312823, -0.615389, -0.362546, 1.19786, 0.0363814, 1.03718, 1.16371, 0.492698, 1.07404, -0.415902]","[[17, 2, 18, 3], [48, 2, 49, 1], [5, 12, 6, 13], [3, 18, 4, 19], [6, 32, 7, 31], [7, 45, 8, 44], [4, 54, 5, 53], [34, 10, 35, 9], [57, 9, 58, 8], [14, 30, 15, 29], [13, 43, 14, 42], [10, 47, 11, 48], [15, 50, 16, 51], [11, 55, 12, 54], [37, 17, 38, 16], [20, 23, 21, 24], [19, 41, 20, 40], [26, 21, 27, 22], [22, 27, 23, 28], [24, 39, 25, 40], [38, 25, 39, 26], [30, 43, 31, 44], [33, 47, 34, 46], [28, 52, 29, 51], [32, 55, 33, 56], [58, 35, 1, 36], [49, 37, 50, 36], [41, 53, 42, 52], [45, 56, 46, 57]]","[[-11, -5, 2], [-9, -4, 4], [-7, -4, 2], [-7, -3, 8], [-5, -3, 4], [-5, -2, 12], [-3, -2, 8], [-3, -1, 14], [-1, -1, 12], [-1, 0, 17], [1, 0, 15], [1, 1, 14], [3, 1, 16], [3, 2, 12], [5, 2, 14], [5, 3, 8], [7, 3, 12], [7, 4, 4], [9, 4, 8], [9, 5, 2], [11, 5, 4], [13, 6, 2]]","[[-5, -2], [-4, 6], [-3, -12], [-2, 20], [-1, -26], [0, 31], [1, -30], [2, 26], [3, -20], [4, 12], [5, -6], [6, 2]]","11","[[-3, -4], [-2, 20], [-1, -44], [0, 57], [1, -44], [2, 20], [3, -4]]","6","0","193"
"[0.460896, -0.447406, -2.27024, 1.37434, -0.659724, 0.423959, -0.561288, 0.107263, -1.27112, -2.35928, -1.52219, -1.72767, 0.528254, 0.416039, -0.173288]","[[14, 2, 15, 1], [29, 3, 30, 2], [3, 9, 4, 8], [4, 19, 5, 20], [24, 6, 25, 5], [7, 21, 8, 20], [6, 26, 7, 25], [18, 10, 19, 9], [23, 11, 24, 10], [12, 18, 13, 17], [11, 23, 12, 22], [13, 29, 14, 28], [30, 16, 1, 15], [16, 27, 17, 28], [21, 26, 22, 27]]","[[3, 0, 2], [5, 0, 1], [5, 1, 3], [7, 1, 1], [7, 2, 5], [9, 2, 3], [9, 3, 5], [11, 3, 5], [11, 4, 6], [13, 4, 5], [13, 5, 5], [15, 5, 6], [15, 6, 4], [17, 6, 5], [17, 7, 2], [19, 7, 4], [19, 8, 1], [21, 8, 2], [23, 9, 1]]","[[2, 2], [3, -4], [4, 8], [5, -10], [6, 11], [7, -11], [8, 9], [9, -6], [10, 3], [11, -1]]","9","[[-3, -1], [-2, 7], [-1, -15], [0, 19], [1, -15], [2, 7], [3, -1]]","6","4","65"
