permutation,PD_code,Khovanov_polynomial,Jones_polynomial,Jones_polynomial_span,Alexander_polynomial,Alexander_polynomial_span,Signature,Determinant
"[0.549373, 0.788039, 0.257783, 0.0624759, -0.208938, 0.976488, 0.427543, 1.41977, -0.448993, -2.37561, 0.479777, -1.14359, 2.22599, 0.334342, -1.02558]","[[10, 2, 11, 1], [19, 3, 20, 2], [22, 4, 23, 3], [5, 13, 6, 12], [8, 15, 9, 16], [6, 18, 7, 17], [4, 22, 5, 21], [7, 27, 8, 26], [28, 10, 1, 9], [11, 24, 12, 25], [18, 13, 19, 14], [27, 14, 28, 15], [16, 25, 17, 26], [23, 21, 24, 20]]","[[-1, -1, 1], [1, 0, 2], [3, 0, 2], [3, 1, 2], [5, 1, 1], [5, 2, 3], [7, 2, 2], [7, 3, 2], [9, 3, 3], [9, 4, 2], [11, 4, 2], [11, 5, 1], [13, 5, 2], [13, 6, 1], [15, 6, 1], [17, 7, 1]]","[[0, -1], [1, 3], [2, -3], [3, 5], [4, -5], [5, 4], [6, -3], [7, 2], [8, -1]]","8","[[-3, 1], [-2, -3], [-1, 6], [0, -7], [1, 6], [2, -3], [3, 1]]","6","2","27"
"[1.08695, 1.91334, -0.795778, -0.625223, -0.245577, -0.33032, 1.61442, 1.19586, 0.774961, 0.58218, 1.15559, -0.849304, -0.969254, 2.28674, -0.369841, -1.79187, 1.23386, 0.0130729, 2.11827]","[[4, 2, 5, 1], [2, 6, 3, 5], [6, 4, 1, 3]]","[[1, 0, 1], [3, 0, 1], [5, 2, 1], [9, 3, 1]]","[[1, 1], [3, 1], [4, -1]]","3","[[-1, 1], [0, -1], [1, 1]]","2","2","3"
